Customer Name,Address,State,City,Zip,Active,Note,State,Prospect,Location
014 Pinal Food Market,50 N Main,AZ,Florence,85232,No,,AZ,,
0469 Carneceria El Bronco,6305 W Mcdowell Rd,AZ,Phoenix,85035,No,,AZ,,
109 Wine and Cheese Mkt,109 Danbury Rd,CT,Ridgefield,6877,No,,CT,,
11-C Market,661 Roberts Lane,CA,Bakersfield,93308,No,,CA,,
141 Bradford Natural Market,141 Bradford Street,MA,Provincetown,2657,No,,MA,,
1428 Haight street,1428 Haight Street,CA,San Francisco,94117,No,,,,San Francisco
144 Lee S Foodland Market,308 S Main St,AZ,Coolige,85225,No,,AZ,,
145 Nur Import Market,3565 E Speedway Blvd,AZ,Tucson,85716,No,,AZ,,
168 Market - #802,3459 S Jones Blvd,NV,Las Vegas,89146,No,,NV,,
230 Two Brothers,5508 N 43Rd Ave,AZ,Phoenix,85301,No,,AZ,,
24th Cheese,3893 24th St,CA,San Francisco,94114,No,No order for more than 7 months,CA,,San Francisco
272 M & M Kwik Mart,8001 E Roosevelt,AZ,Scottsdale,85257,No,,AZ,,
274 Mercado Latino Ii,1802 E Mcdowell Rd,AZ,Phoenix,85006,No,,AZ,,
333 Eddie S Food Mart,2446 W Buckeye Rd,AZ,Phoenix,85009,No,,AZ,,
351 Lee Lee Oriental West,7575 W Cactus Rd,AZ,Peoria,85381,No,,AZ,,
464 Mexico Lindo,4419 E Main St,AZ,Mesa,85205,No,,AZ,,
465 Shop 4 Less,1826 W Peoria Ave,AZ,Phoenix,85029,No,,AZ,,
466 Best Farmer S Market,4825 N 27Th Ave,AZ,Phoenix,85017,No,,AZ,,
467 Hally S Market,21640 W Harding St,AZ,Wittman,85161,No,,AZ,,
468 Camelback Market,5630 W Camelback Rd,AZ,Phoenix,85301,No,,AZ,,
470 Carniceria Del Pueblo,3601 W Camelback Rd,AZ,Phoenix,85019,No,,AZ,,
471 Omar Mart,6031 N 67Th Ave #1,AZ,Glendale,85301,No,,AZ,,
474 Dhaka Food Mart Llc.,4107 E Mcdowell Rd,AZ,Phoenix,85008,No,,AZ,,
475 Basic Food Store,9206 Avenida Del Yagui,AZ,Guadalupe,85283,No,,AZ,,
476 F & S Market Place,1460 E Bell Rd,AZ,Phoenix,85022,No,,AZ,,
477 Banadir Store,4415 S Rural Rd Ste #10,AZ,Phoenix,85282,No,,AZ,,
478 M & R Market,1231 S Mesa Dr,AZ,Mesa,85210,No,,AZ,,
826 Old Red Lake Tp,Highway 160 Box 330,AZ,Tonalea,86044,No,,AZ,,
837 Mercado De Amigos #1,49244 Ehrenberg Pstn Hwy,AZ,Ehrenberg,85334,No,,AZ,,
838 Mercado De Amigos #2,1661 Avenue 64 East,AZ,Dateland,85333,No,,AZ,,
885 Quality Foods Market,1401 E Pierce,AZ,Phoenix,85006,No,,AZ,,
99 Ranch Cupertino #68,10983 North Wolfe Rd,CA,Cupertino,95014,No,,CA,,San Jose
99 Ranch Daly City #69,250 Skyline Plaza,CA,Daly City,95015,No,,CA,,San Jose
99 Ranch Dublin #71,7333 Regional St,CA,Dublin,94568,No,,CA,,East Bay
99 Ranch Fremont #62,34444 Fremont Blvd.,CA,Fremont,94555,No,,CA,,
99 Ranch Hostetter #61,1688 Hostetter Rd. #E,CA,San Jose,95131,No,,CA,,San Jose
99 Ranch HQ.,31056 Genstar Rd,CA,Hayward,94544,No,,CA,,East Bay
99 Ranch Market,6281 Regio Ave,CA,Buena Park,90620,No,,CA,,
99 Ranch Market #103,1015 Nogales St,CA,Rowland Heights,91748,No,,CA,,
99 Ranch Market #105,651 N Euclid St,CA,Anaheim,92801,No,,CA,,
99 Ranch Market #106,1340 W Artesia Blvd,CA,Gardena,90248,No,,CA,,
99 Ranch Market #107,1300 S Golden West St,CA,Arcadia,91007,No,,CA,,
99 Ranch Market #108,140 W Valley Blvd,CA,San Gabriel,91776,No,,CA,,
99 Ranch Market #109,15333 Culver Dr,CA,Irvine,92604,No,,CA,,
99 Ranch Market #112,771 W Garvey Ave,CA,Monterey Park,91754,No,,CA,,
99 Ranch Market #113,6450 Sepulveda Blvd,CA,Van Nuys,91411,No,,CA,,
99 Ranch Market #116,7330 Clairemont Mesa Blv,CA,San Diego,92111,No,,CA,,
99 Ranch Market #117,17713 Pioneer Blvd,CA,Artesia,90701,No,,CA,,
99 Ranch Market #118,1625 S Azusa Ave,CA,Hacienda Heights,91745,No,,CA,,
99 Ranch Market #119,5402 Walnut Ave,CA,Irvine,92604,No,,CA,,
99 Ranch Market #131,2959 Chino Ave,CA,Chino Hills,91709,No,,CA,,
99 Ranch Market #133,18018 Magnolia St,CA,Fountain Valley,92708,No,,CA,,
99 Ranch Market #168,1421 E Valley Blvd,CA,Alhambra,91801,No,,CA,,
99 Ranch Market #194,6281 Regio Ave,CA,Buena Park,90620,No,,CA,,
99 Ranch Market #5,6281 Regio Ave,CA,Buena Park,90620,No,,CA,,
99 Ranch Market Foster City #82,1070 Foster City Blvd.,CA,Foster City,94404,No,,CA,,peninsula
99 Ranch Milpitas #66,338 Barber Lane,CA,Milpitas,95035,No,,CA,,San Jose
99 Ranch Newark #83,35219 Newark Blvd. #B,CA,Newark,94560,No,,CA,,
99 Ranch Richmond #81,3288 Pierce St. #500,CA,Richmond,94804,No,,CA,,East Bay
A & J SELECT STEVENSON,265 2ND STREET,WA,STEVENSON,98648,No,No order for more than 4 months,WA,,
A Grape in The Fog,400 Old County Road Suite 1,CA,Pacifica,94044,No,,CA,,peninsula
A Market,3400 West Coast Highway,CA,Newport Beach,92663,No,,CA,,
A Verb for Keeping Warm,6328 San Pablo Ave,CA,Oakland,94608,No,,CA,,East Bay
A. R. Super Market,9580 Garden Grove Blvd,CA,Garden Grove,92844,No,,CA,,
Acton Market,3638 Smith Ave,CA,Acton,93510,No,,CA,,
Adlong Market,1550 W Adams Blvd,CA,Los Angeles,90007,No,,CA,,
Advance Food Market,5469 W Adams,CA,Los Angeles,90016,No,,CA,,
Al's Food Mkt,3550 Somerset Ave,CA,Castro Valley,94546,No,,CA,,East Bay
Alaska Sport Shop,P.O. Box 1069,AK,Haines,99827,No,,AK,,
Alberts Red Apple Mkt,44546 State Route 20,WA,Concrete,98237,No,,WA,,
Allen Creek Market Fresh IGA,6610 64th Street NE Suite A,WA,Marysville,98270,No,,WA,,
Alpine Creek Market,1347 Tavern Rd Unit 27,CA,Alpine,91901,No,,CA,,
Alyeska Trading Company,606 West Broadway,AK,Unalaska,99685,No,,AK,,
Amador Cellars,11093 Shenandoah Road,CA,Plymouth,95669,No,,CA,,
Amapola Deli & Market,13733 Garfield Ave,CA,Paramount,90723,No,,CA,,
Amapola Mexican Deli,7779 S Compton Ave,CA,Los Angeles,90001,No,,CA,,
Amapola Super Deli & Market,7420 E Florence Ave,CA,Downey,90240,No,,CA,,
Amar Ranch Market,1111 E Channel Island,CA,Oxnard,93033,No,,CA,,
Amazon,,,,,No,,,,
Andrew's Cheese Shop,728 Montana Ave,CA,Santa Monica,90403,No,,CA,,
Andronico,1550 Shattuck Avenue,CA,Berkeley,94709,No,No order for more than 7 months,CA,,East Bay
Angels Food Mkt,396 N Main St,CA,Angels Camp,95222,No,,CA,,
Apple Markets,5200 Sheila Street,CA,Commerce,90040,No,,CA,,
Apple Tree Market,4949 Santa Monica Ave,CA,San Diego,92107,No,,CA,,
Appletree #2,1556 3Rd Ave,CA,Chula Vista,91910,No,,CA,,
Arbuckle Food Center,575 Amanda St,CA,Arbuckle,95912,No,,CA,,
Arrow Market,2638 Imperial Ave,CA,San Diego,92102,No,,CA,,
Artisan’s Gallery,1368 Pacific Ave,CA,Santa Cruz,95060,No,,CA,,
Avedano's,235 Cortland Ave,CA,San Francisco,94110,No,,CA,,San Francisco
"Azusa Supermarket, Inc.",1512 E Amar Road,CA,West Covina,91792,No,,CA,,
B patisserie,B patisserie,CA,San Francisco,94115,No,,,,San Francisco
Baja Ranch Supermarket,425 S Citrus Ave,CA,Covina,91723,No,,CA,,
Baja Ranch Supermarket #1,328 W Huntington Dr,CA,Monrovia,91016,No,,CA,,
Baja Ranch Supermarket #2,2515 Fair Oaks Ave,CA,Altadena,91001,No,,CA,,
Baja Ranch Supermarket #5,475 E Orange Grove Blvd,CA,Pasadena,91104,No,,CA,,
BALES CEDAR MILL TW-PORTLND,12675 NW CORNELL ROAD,OR,PORTLAND,97229,No,No order for more than 4 months,OR,,
Ballard Market,1400 NW 56th Street,WA,Seattle,98107,No,,WA,,
Banning Village Market,266 N San Gorgonio Ave,CA,Banning,92220,No,,CA,,
Basic Food Warehouse,851 J Fifth Street,CA,Gonzales,93926,No,,CA,,
Basic Foods Warehouse,851 J Fifth St,CA,Gonzales,93926,No,,CA,,
Basque Boulangerie Cafe,460 1st St E,CA,Sonoma,95476,No,,,,Marin County
Bayleaf,101 Coveland,WA,Coupeville,98239,No,,WA,,
BAYVIEW THRIFTWAY,516 WEST 4TH ST,WA,OLYMPIA,98502,No,No order for more than 4 months,WA,,
Beachs #4,8235 E Garvey Blvd,CA,Rosemead,91770,No,,CA,,
Beachwood Market #1,2701 N Belden Dr,CA,Los Angeles,90068,No,,CA,,
Bedford Cheese Shop,229 Bedford Ave,NY,Brooklyn,11211,No,,NY,,
BEL AIR #501,6231 FRUITRIDGE ROAD,CA,SACRAMENTO,95820,No,No order for more than 7 months,CA,,
BEL AIR #502,4320 ARDEN WAY,CA,SACRAMENTO,95864,No,No order for more than 7 months,CA,,
BEL AIR #509,1039 SUNRISE AVENUE,CA,ROSEVILLE,95661,No,No order for more than 7 months,CA,,
BEL AIR #510,1540 W. EL CAMINO AVENUE,CA,SACRAMENTO,95833,No,No order for more than 7 months,CA,,
BEL AIR #511,4005 MANZANITA AVENUE,CA,CARMICHAEL,95608,No,No order for more than 7 months,CA,,
BEL AIR #512,4008 FOOTHILL BLVD.,CA,ROSEVILLE,95747,No,No order for more than 7 months,CA,,
BEL AIR #515,3510 PALMER DRIVE,CA,CAMERON PARK,95682,No,No order for more than 7 months,CA,,
BEL AIR #519,7901 WALERGA ROAD,CA,ANTELOPE,95843,No,No order for more than 7 months,CA,,
BEL AIR #521,1266 STABLER LANE,CA,YUBA CITY,95991,No,No order for more than 7 months,CA,,
BEL AIR #523,8425 ELK GROVE/FLORIN RD,CA,ELK GROVE,95624,No,No order for more than 7 months,CA,,
BEL AIR #526,1885 EAST GIBSON ROAD,CA,WOODLAND,95776,No,No order for more than 7 months,CA,,
BEL AIR #528,3250 ARENA BLVD.,CA,SACRAMENTO,95834,No,No order for more than 7 months,CA,,
BEL AIR MART #506,1301 FLORIN ROAD,CA,SACRAMENTO,95831,No,No order for more than 7 months,CA,,
BEL AIR MART #514,7465 RUSH RIVER DRIVE,CA,SACRAMENTO          ,95831,No,No order for more than 7 months,CA,,
BEL AIR MART #516,5100 LAGUNA BLVD.,CA,ELK GROVE,95758,No,No order for more than 7 months,CA,,
BEL AIR MART #517,2222 GRASS VALLEY HWY.,CA,AUBURN,95603,No,No order for more than 7 months,CA,,
BEL AIR MART #518,2341 SUNSET BLVD.,CA,ROCKLIN,95765,No,No order for more than 7 months,CA,,
BEL AIR MART #522,2155 GOLDEN CENTRE LANE,CA,GOLD RIVER,95670,No,No order for more than 7 months,CA,,
BEL AIR MART #524,2760 EAST BIDWELL,CA,FOLSOM,95630,No,No order for more than 7 months,CA,,
BEL AIR MART #525,9435 ELK GROVE BLVD.,CA,ELK GROVE,95624,No,No order for more than 7 months,CA,,
BEN LOMOND MARKET,9440 MILL STREET,CA,BEN LOMOND,95005,No,No order for more than 7 months,CA,,
